100000 100000
2 58949 13782
2 43959 2005
2 6141 23339
2 59878 98883
3 48345 81488
2 18328 13897
3 27946 46883
3 70980 54254
2 1094 91587
1 75844 43212
1 24052 27262
3 58015 89833
2 33815 55747
3 34270 89266
1 92116 9241
2 694 29615
3 64697 4774
3 46157 2042
1 20085 87678
2 42742 69118
3 31478 4341
1 60186 82987
1 39525 57615
3 22696 75611
1 20390 90835
3 58558 53713
1 82928 4450
3 77702 70994
2 74817 94614
3 8429 86090
1 37115 12817
2 40303 36196
2 77321 47198
3 17878 15047
3 57582 84810
3 29494 64305
1 26644 42339
2 40374 36423
3 72354 3851
3 11327 6178
2 75642 66761
1 65400 10082
2 34710 12945
3 27167 94080
3 61732 7831
3 21260 74946
1 47000 35439
3 57102 40390
2 68377 67082
1 9044 72959
3 93258 36772
2 24978 51086
1 76688 45271
3 95039 92439
3 76819 78453
3 83800 3637
1 44421 49911
2 25142 71726
2 772 27899
2 45891 6930
2 78502 66733
1 45518 52048
2 80887 20560
2 23664 82295
3 24206 78322
2 81357 32092
1 68004 50718
1 80157 96610
2 922 76774
2 31949 98171
1 13910 12441
2 86647 46183
1 63238 99993
2 39850 73370
3 35953 92866
3 65575 879
3 17193 66815
1 11922 96262
2 94607 12146
3 11969 59846
1 78017 1081
3 2331 87143
3 44771 47157
1 31265 24555
2 96236 8616
3 38336 38080
3 54914 49877
3 99658 14792
1 13364 33320
3 99642 33035
1 82348 62304
1 92704 58560
1 42766 37660
2 52833 47060
2 63659 12160
2 7316 44525
2 70363 93122
1 91878 9180
2 48206 27263
1 26809 2479
2 47512 27402
3 78665 68286
1 89379 14940
3 55289 67577
1 90967 55782
1 46317 53
1 45595 41079
2 44196 91769
3 41881 86558
1 85622 37497
2 94244 81935
2 35371 67721
3 39957 72114
2 25378 70543
2 93889 10152
2 21198 80696
1 39868 45603
1 60274 54856
2 16242 8637
3 6249 57361
1 41967 43625
1 49805 25387
3 7507 66887
2 99957 81905
3 21849 30706
3 6 11176
3 78518 80345
1 16548 69941
1 10491 90848
2 20055 29862
1 11890 77465
2 92793 54451
3 51281 80523
2 89967 185
2 92608 84782
3 62123 70651
2 14216 81467
3 30991 31705
3 99766 22224
2 37925 27121
2 47272 96093
3 20554 19851
2 3510 41357
3 91802 31126
1 30711 80944
3 69679 96473
3 23629 22581
2 36876 3468
1 3278 94406
2 69869 6697
3 6426 15217
2 61289 3288
1 78814 46444
3 94050 94732
1 24417 96010
2 99634 31771
3 4094 36532
3 55446 53192
3 56073 62878
2 26519 82250
1 37849 64963
1 57845 23692
1 22411 79401
1 83017 28410
